,gender,meaning,name,origin
42,m,Variant transcription of ABHIJIT.,ABHIJEET,"[Indian, Hindi, Marathi, Bengali]"
43,m,"Means ""desire, wish"" in Sanskrit.",ABHILASH,"[Indian, Malayalam, Hindi]"
44,m,"Means ""young, fresh"" in Sanskrit.",ABHINAV,"[Indian, Hindi, Marathi, Kannada, Telugu]"
45,f,Short form of ABIGAIL.,ABI,[Scottish]
46,m&f,Variant of ABIJAH which also appears in the English Bible.,ABIAH,[Biblical]
47,m,"Means ""born during father's absence"" in Yoruba.",ABIDEMI,"[Western African, Yoruba]"
48,f,Greek form of ABIGAIL.,ABIGAIA,[Biblical Greek]
49,f,"From the Hebrew name אֲבִיגָיִל ('Avigayil) meaning ""my father is joy"". In the Old Testament this is the name of Nabal's wife. After Nabal's death she became the third wife of King David.... [more]",ABIGAIL,"[English, German, Biblical, Biblical Latin]"
50,f,Hungarian form of ABIGAIL.,ABIGÉL,[Hungarian]
51,m&f,"Means ""my father is YAHWEH"" in Hebrew. In the Old Testament this is the name of several characters, both male and female, including the second king of Judah.",ABIJAH,[Biblical]
52,m,Portuguese form of AVILIUS.,ABÍLIO,[Portuguese]
53,m,"Means ""my father is God"" in Hebrew. In the Old Testament he is listed as a descendant of Shem.",ABIMAEL,[Biblical]
54,m,"Means ""my father is king"" in Hebrew. This is the name of several characters in the Old Testament including a king of Gerar who takes Abraham's wife Sarah, but is forced by God to give her back.",ABIMELECH,[Biblical]
55,m,"Means ""born into royalty"" in Yoruba.",ABIOYE,"[Western African, Yoruba]"
56,m,Biblical Latin form of ABISHAI.,ABISAI,[Biblical Latin]
57,m,"Means ""my father is a gift"" in Hebrew. In the Old Testament he is one of King David's heroes.",ABISHAI,[Biblical]
58,f,"Means ""full-figured"" in Arabic. The 7th-century Arabic poet Antara dedicated much of his poetry to a woman named Abla.",'ABLA,[Arabic]
59,m,Persian form of ABU AL-FADL.,ABOLFAZL,[Persian]
60,m,"Biblical Greek form of ABRAHAM, as well as a Georgian form.",ABRAAM,"[Biblical Greek, Georgian]"
61,m,Hungarian form of ABRAHAM.,ÁBRAHÁM,[Hungarian]
62,m,"Means ""high father"" in Hebrew. In the Old Testament God changed Abram's name to Abraham (see Genesis 17:5).",ABRAM  (1),"[English, Biblical]"
63,m,Italian form of ABRAHAM.,ABRAMO,[Italian]
64,m,"Means ""father of"" in Arabic. This is commonly used as an element in a kunya, which is a type of Arabic nickname. The element is combined with the name of one of the bearer's children (usually the eldest son). In some cases the kunya is figurative, not referring to an actual child, as in the case of the Muslim caliph Abu Bakr.",ABU,[Arabic]
65,m,Form of ABU BAKR used in western Africa.,ABUBAKAR,[Western African]
66,m,Variant transcription of ABU AL-FADL.,ABUL-FAZL,[Arabic]
67,f,"From the name of a type of tree, ultimately deriving from Greek ακη (ake) ""thorn, point"".",ACACIA,[English (Rare)]
68,f,"Latinized form of Greek Ακανθα (Akantha), which meant ""thorn, prickle"". In Greek legend she was a nymph loved by Apollo.",ACANTHA,[Greek Mythology (Latinized)]
69,m,Macedonian diminutive of ALEXANDER.,ACE  (2),[Macedonian]
70,m,Latin form of AHAB used in some versions of the Vulgate.,ACHAB,[Biblical Latin]
71,m,Greek form of ACHAICUS.,ACHAIKOS,"[Biblical Greek, Ancient Greek]"
72,m,Medieval Norman form of EKKEHARD.,ACHARD,[Old Norman]
73,f,Feminine form of OCHIENG.,ACHIENG,"[Eastern African, Luo]"
74,m,"From the Greek Αχιλλευς (Achilleus) which is of unknown meaning, perhaps derived from Greek αχος (achos) ""pain"" or else from the name of the Achelous River. This was the name of a warrior in Greek legend, one of the central characters in Homer's 'Iliad'. The bravest of the Greek heroes in the war against the Trojans, he was eventually killed by an arrow to his heel, the only vulnerable part of his body.",ACHILLES,[Greek Mythology (Latinized)]
75,m,German short form of JOACHIM.,ACHIM  (1),[German]
76,f,", HebrewHebrew form of AHINOAM.",ACHINOAM,"[Biblical Hebrew, Hebrew]"
77,m,Macedonian and Serbian diminutive of ALEKSANDAR.,ACO,"[Macedonian, Serbian]"
78,f,"Short form of ADELAIDE and other names beginning with the same sound. This name was borne by Augusta Ada King (1815-1852), the Countess of Lovelace (known as Ada Lovelace), a daughter of Lord Byron. She was an assistant to Charles Babbage, the inventor of an early mechanical computer.",ADA,"[English, German, Polish, Hungarian, Italian, Finnish]"
79,f,"Means ""king's daughter"" in Igbo.",ADAEZE,"[Western African, Igbo]"
80,m,From an English surname which was derived from the given name EDGAR.,ADAIR,[English (Rare)]
81,m,"Derived from the Germanic elements adal ""noble"" and bern ""bear"".",ADALBERN,[Ancient Germanic]
82,m,Variant of ALBERTO.,ADALBERTO,"[Italian, Spanish, Portuguese]"
83,m,"Derived from the Germanic elements adal ""noble"" and fara ""journey"".",ADALFARUS,[Ancient Germanic (Latinized)]
84,m,"Derived from the Germanic elements adal ""noble"" and hard ""brave, hardy"". Saint Adalhard or Adalard was a cousin of Charlemagne who became a abbot of Corbie.",ADALHARD,[Ancient Germanic]
85,m,"Possibly means ""YAHWEH is just"" in Hebrew. In the Old Testament this is the name of a son of Haman.",ADALIA,[Biblical]
86,m,Older form of ADOLF.,ADALWOLF,[Ancient Germanic]
87,f,Variant of ADELINE using the popular name suffix lyn.,ADALYN,[English (Modern)]
88,m,Hungarian form of ADAM.,ÁDÁM,[Hungarian]
89,f,Feminine form of ADAM.,ADAMINA,[English (Rare)]
90,m,Old Slavic form of ADAM.,ADAMU,[Old Church Slavic]
91,f,"Means ""father's daughter"" in Igbo.",ADANNA,"[Western African, Igbo]"
92,m,Portuguese form of ADAM.,ADÃO,[Portuguese]
93,m,"Originally a short form of Germanic names beginning with the element adal meaning ""noble"".",ADDE,[Frisian]
94,m&f,"From an English surname meaning ""son of ADAM"". Its recent popularity as a feminine name stems from its similarity in sound to Madison.",ADDISON,[English]
95,m,Medieval diminutive of ADAM.,ADDY  (2),[Medieval English]
96,m&f,"Means ""crown"" in Yoruba, also a short form of other Yoruba names beginning with this element.",ADE  (1),"[Western African, Yoruba]"
97,m,"Means ""the crown meets joy"" in Yoruba.",ADEBAYO,"[Western African, Yoruba]"
98,m&f,"Means ""the crown has come home"" in Yoruba.",ADEBOWALE,"[Western African, Yoruba]"
99,m,"Means ""the crown has been exalted"" in Yoruba.",ADEGOKE,"[Western African, Yoruba]"
100,m,Variant transcription of ADIL.,ADEL,[Arabic]
101,f,"Originally a short form of names beginning with the Germanic element adal meaning ""noble"". Saint Adela was a 7th-century Frankish princess who founded a monastery at Pfazel in France. This name was also borne by a daughter of William the Conqueror.",ADELA,"[English, Spanish, Romanian, Polish, Ancient Germanic]"
102,f,French form of ADELAIDE.,ADÉLAÏDE,[French]
103,f,Shortened form of ADALHEIDIS.,ADELAIS,[Ancient Germanic]
104,m,French form of ADALHARD.,ADÉLARD,[French (Quebec)]
105,m,German and Dutch variant of ADALBERT.,ADELBERT,"[German, Dutch]"
106,f,Form of ADÈLE.,ADELE,"[German, English, Italian, Finnish]"
107,f,Elaborated form of ADELA.,ADELIA,"[English, Spanish]"
108,f,Diminutive of ADÈLE.,ADELINE,"[French, English]"
109,f,Variant of ADELA.,ADELLA,[English]
110,m,"From the Germanic elements adal ""noble"" and meri ""famous"".",ADELMAR,"[Ancient Germanic, Portuguese (Brazilian)]"
111,m,Turkish form of ADAM.,ADEM,[Turkish]
112,m,Italian form of Audamar (see OTMAR).,ADEMARO,[Italian]
113,m,Variant of AIDAN.,ADEN,[English (Modern)]
114,m,"Latin name meaning ""given by God"". This was the name of a son of Saint Augustine and two popes (who are also known by the related name Deusdedit).",ADEODATUS,[Late Roman]
115,m&f,"Means ""the crown came from over the sea"" in Yoruba.",ADETOKUNBO,"[Western African, Yoruba]"
116,f,"Derived from Arabic عذارى ('adhara) meaning ""maidens"". This is the name of the second brightest star (after Sirius) in the constellation Canis Major.",ADHARA,[Astronomy]
117,m&f,"Means ""jewel"" or ""ornament"" in Hebrew.",ADI  (1),[Hebrew]
118,m,Diminutive of ADOLF (German) or ADRIAN (Romanian) as well as other names beginning with the same sound.,ADI  (3),"[German, Romanian]"
119,m,"Means ""fair, honest, just"" from Arabic عدل ('adala) ""to act justly"".",ADIL,[Arabic]
120,f,Turkish feminine form of ADIL.,ADİLE,[Turkish]
121,m&f,"From Hebrew עֲדִינָא ('adina') meaning ""slender, delicate"". This name is borne by a soldier in the Old Testament. It is also used in modern Hebrew as a feminine name, typically spelled עֲדִינָה.",ADINA  (1),"[Biblical, Biblical Latin, Biblical Greek, Hebrew]"
122,m,Hebrew form of ADINA  (1).,'ADINAH,[Biblical Hebrew]
123,m,"Means ""strong, mighty"" in Hebrew. This word is used in the Hebrew Bible to describe God.",ADIR,[Hebrew]
124,f,"Means ""boundless, entire"" or ""freedom, security"" in Sanskrit. This is the name of an ancient Hindu goddess of the sky and fertility. According to the Vedas she is the mother of the gods.",ADITI,"[Hinduism, Indian, Hindi, Marathi, Bengali, Kannada]"
125,f,Variant of ADWOA.,ADJOA,"[Western African, Akan]"
126,m,"Means ""settler"" in Arabic. According to tradition, Adnan was an ancestor of the Prophet Muhammad and the northern Arabian tribes.",ADNAN,"[Arabic, Turkish, Bosnian, Urdu]"
127,m,Spanish diminutive of ADOLFO.,ADOLFITO,[Spanish]
128,m,"English form of ADOLF, rarely used since World War II.",ADOLPH,[English]
129,m,Latinized form of ADOLF.,ADOLPHUS,[Ancient Germanic (Latinized)]
130,m,"Means ""my lord"" in Hebrew. This was the title used to refer to the God of the Israelites, Yahweh, whose name was forbidden to be spoken.",ADONAI,[Theology]
131,m,"Means ""my lord is exalted"" in Hebrew. In the Old Testament this is the name of an overseer of tribute under the kings David, Solomon and Rehoboam. He was stoned to death when the Israelites revolted.",ADONIRAM,[Biblical]
132,m,Hebrew form of ADONIJAH.,'ADONIYAH,[Biblical Hebrew]
133,f,"Means ""adoration"" in Spanish. This name refers to the event that is known in Christian tradition as the Adoration of the Magi, which is when the three Magi presented gifts to the infant Jesus and worshipped him.",ADORACIÓN,[Spanish]
134,m,Hungarian form of ADRIAN.,ADORJÁN,[Hungarian]
135,f,Feminine form of ADRASTOS. In Greek mythology this name was borne by a nymph who fostered the infant Zeus. This was also another name of the goddess Nemesis.,ADRASTEIA,[Greek Mythology]
136,f,Short form of ADRIANA.,ADRIA,[English]
137,m,Dutch form of ADRIAN.,ADRIAAN,[Dutch]
138,m,"Form of Hadrianus (see HADRIAN). Several saints and six popes have borne this name, including the only English pope, Adrian IV, and the only Dutch pope, Adrian VI. As an English name, it has been in use since the Middle Ages, though it was not popular until modern times.",ADRIAN,"[English, Romanian, Polish, German, Swedish, Norwegian, Danish, Russian]"
139,f,Feminine form of ADRIAN.,ADRIANNA,"[English, Polish]"
140,m,Italian and Portuguese form of ADRIAN.,ADRIANO,"[Italian, Portuguese]"
141,m,French form of ADRIAN.,ADRIEN,[French]
142,f,French feminine form of ADRIAN.,ADRIENNE,[French]
143,f,"Slovene, Serbian, Croatian and Macedonian feminine form of ADRIAN.",ADRIJANA,"[Slovene, Serbian, Croatian, Macedonian]"
144,f,"Means ""born on Monday"" in Akan.",ADWOA,"[Western African, Akan]"
145,m,Older form of AODH.,ÁED,"[Ancient Irish, Irish Mythology]"
146,m,Variant of ÁED.,ÁEDH,[Ancient Irish]
147,f,"Latinized form of the Greek Αιγλη (Aigle) which meant ""light, radiance, glory"". This was the name of several characters in Greek myth, including one of the Heliades and one of the Hesperides.",AEGLE,[Greek Mythology (Latinized)]
148,f,"Derived from the Old English elements ælf ""elf"" and giefu ""gift"". This was the name of the first wife of the English king Æðelræd II.",ÆLFGIFU,[Anglo-Saxon]
149,m,"Derived from the Old English element ælf ""elf"" combined with noð ""boldness, daring"".",ÆLFNOÐ,[Anglo-Saxon]
150,f,Finnish short form of ADELE and other names beginning with the same sound.,AADA,[Finnish]
151,f,"Short form of names beginning with the Germanic element alf ""elf"".",AAFJE,[Dutch]
152,m,"Means ""high, lofty, sublime"" in Arabic.",AALI,[Arabic]
153,f,"Feminine form of AALI. It was popularized in the English-speaking world by the singer Aaliyah Haughton (1979-2001), who was known simply as Aaliyah.",AALIYAH,"[Arabic, English (Modern)]"
154,f,Variant transcription of AMINAH  (1).,AAMINAH,[Arabic]
155,m,Variant of AMIR  (1).,AAMIR,[Arabic]
156,m,Finnish form of ABEL.,AAPELI,[Finnish]
157,m&f,Variant or feminine form of AARON.,AAREN,[English (Rare)]
158,m,Spanish form of AARON.,AARÓN,[Spanish]
159,m,Dutch short form of ARNOLD.,AART,[Dutch]
160,f,"From the name of a Hindu ritual in which offerings of lamps or candles are made to various gods, derived from Sanskrit आरात्रिक (aratrika).",AARTI,"[Indian, Hindi, Marathi]"
161,m,"Means ""thought"" in Finnish.",AATOS,[Finnish]
162,m,Finnish form of ADOLF.,AATU,[Finnish]
163,m,Biblical Latin form of HABAKKUK.,ABACUC,[Biblical Latin]
164,m,"Means ""little abbot"", derived from Irish abb ""abbot"" combined with a diminutive suffix. This was the name of a 6th-century Irish saint, the son of king Cormac of Leinster.",ABBÁN,[Irish]
165,m,"Means ""austere"" in Arabic. This was the name of the Prophet Muhammad's uncle. It was also borne by a son of Ali, the fourth caliph.",ABBAS,"[Arabic, Persian]"
166,f,Diminutive of ABIGAIL.,ABBEY,[English]
167,f,Diminutive of ABIGAIL.,ABBIE,[English]
168,m,"Means ""servant of the powerful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with عزيز ('aziz) ""powerful"". This was the name of the first king of modern Saudi Arabia.",ABD AL-AZIZ,[Arabic]
169,m,Variant transcription of ABD AL-QADIR.,ABD AL-KADER,[Arabic]
170,m,"Means ""servant of ALLAH"" from Arabic عبد ('abd) ""servant of"" combined with الله (Allah). This was the name of the Prophet Muhammad's father. He died before his son's birth.",ABD ALLAH,[Arabic]
171,m,"Means ""servant of the king"" from Arabic عبد ال ('abd al) ""servant of the"" combined with ملك (malik) ""king"". This was the name of the fifth Umayyad caliph, who made Arabic the official language of the empire.",ABD AL-MALIK,[Arabic]
172,m,"Means ""servant of the merciful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with رحمن (rahman) ""merciful"". This was the name of two early caliphs of the Umayyad dynasty in Spain.",ABD AL-RAHMAN,[Arabic]
173,m,"Means ""servant of the guardian"" from Arabic عبد ال ('abd al) ""servant of the"" combined with ولِي (wali) ""guardian, friend"".",ABD AL-WALI,[Arabic]
174,m,Form of OBADIAH used in the Greek Old Testament.,ABDIOU,[Biblical Greek]
175,m,"First part of compound Arabic names beginning with عبد ال ('Abd al) meaning ""servant of the"" (such as عبد العزيز ('Abd al-'Aziz) ""servant of the powerful"").",ABDUL,"[Arabic, Urdu, Punjabi, Pashto, Bengali, Indonesian, Malay]"
176,m,Variant transcription of ABD AL-AZIZ.,ABDUL-AZIZ,[Arabic]
177,m,Turkish form of ABD AL-HAMID.,ABDÜLHAMİT,[Turkish]
178,m,Turkish form of ABD AL-KARIM.,ABDÜLKERİM,[Turkish]
179,m,Turkish form of ABD AL-LATIF.,ABDÜLLATİF,[Turkish]
180,m,Tajik variant form of ABD ALLAH.,ABDULLOHI,[Tajik]
181,m,Chechen form of ABD AL-RAHMAN.,ABDURAKHMAN,[Chechen]
182,m,Variant transcription of ABD AL-RASHID.,ABDUR-RASHID,[Arabic]
183,m,Short form of ABRAHAM.,ABE  (1),[English]
184,m,"Means ""servant of Nebo"" in Akkadian, Nebo being the Babylonian god of wisdom. In the Old Testament Abednego is the Babylonian name given to Azariah, one of the three men cast into a blazing furnace but saved from harm by God, as told in the Book of Daniel.",ABEDNEGO,[Biblical]
185,m,Hungarian form of ABEL.,ÁBEL,[Hungarian]
186,m,Italian form of ABEL.,ABELE,[Italian]
187,f,"Means ""born on Tuesday"" in Akan.",ABENA,"[Western African, Akan]"
188,f,"Means ""we asked for her, and behold, we got her"" in Yoruba.",ABENI,"[Western African, Yoruba]"
189,f,"Possibly means ""giving off light"" in Amharic.",ABERASH,"[Eastern African, Amharic]"
190,m,Biblical Greek form of ABSALOM.,ABESSALOM,[Biblical Greek]
191,m,"Means ""fearless"" in Sanskrit.",ABHAY,"[Indian, Hindi, Marathi]"
192,m,"From Sanskrit अभिजित (abhijita) meaning ""victorious"". This is the Sanskrit name for the star Vega.",ABHIJIT,"[Indian, Hindi, Marathi, Bengali]"
193,f,Feminine form of ABHILASH.,ABHILASHA,"[Indian, Hindi]"
194,m,"Means ""anointing"" in Sanskrit.",ABHISHEK,"[Indian, Hindi, Marathi, Gujarati, Punjabi, Bengali, Kannada, Telugu, Malayalam, Tamil]"
195,m&f,Biblical Greek and Latin form of 'AVIYAH.,ABIA,"[Biblical Latin, Biblical Greek]"
196,m,"Means ""my father is judge"" in Hebrew. In the Old Testament he is a Benjamite prince.",ABIDAN,"[Biblical, Biblical Latin, Biblical Greek]"
197,m,"Means ""God is my father"" in Hebrew. This was the name of the grandfather of Saul in the Old Testament.",ABIEL,[Biblical]
198,f,Spanish form of ABIGAIL.,ABIGAÍL,[Spanish]
199,f,Variant of ABIGAIL.,ABIGAYLE,[English (Modern)]
200,m,"Means ""he is my father"" in Hebrew. This is the name of a son of Aaron in the Old Testament. He and his brother Nadab were killed by God because they presented him with unauthorized fire.",ABIHU,[Biblical]
201,f,"From a place name mentioned briefly in the New Testament. It possibly means ""grass"" in Hebrew.",ABILENE,[Biblical]
202,m,Spanish form of AVILIUS.,ABILIO,[Spanish]
203,m&f,"Means ""born wealthy"" in Yoruba.",ABIMBOLA,"[Western African, Yoruba]"
204,m&f,"Means ""born on a festival"" in Yoruba.",ABIODUN,"[Western African, Yoruba]"
205,m,"Means ""my father is exalted"" in Hebrew. In the Old Testament, Abiram is swallowed by an earthquake after rebelling against the leadership of Moses.",ABIRAM,[Biblical]
206,f,"Means ""my father strays"" in Hebrew. In the Old Testament she is a young woman who tends King David in his old age.",ABISHAG,[Biblical]
207,f,"Means ""my father is the night dew"" in Hebrew. She is the fifth wife of David in the Old Testament.",ABITAL,[Biblical]
208,m,"Means ""my father is a light"" in Hebrew. In the Old Testament, Abner was a cousin of Saul and the commander of his army. After he killed Asahel he was himself slain by Asahel's brother Joab. It has been used as an English Christian given name since the Protestant Reformation. It was popular with the Puritans, who brought it to America in the 17th century.",ABNER,"[English, Biblical, Biblical Latin]"
209,m,Form of ABU BAKR used in western Africa.,ABOUBACAR,[Western African]
210,m,Portuguese form of ABRAHAM.,ABRAÃO,[Portuguese]
211,m,"This name may be viewed either as meaning ""father of many"" in Hebrew or else as a contraction of ABRAM  (1) and הָמוֹן (hamon) ""many, multitude"". The biblical patriarch Abraham was originally named Abram but God changed his name (see Genesis 17:5). With his father Terah, he led his wife Sarah, his nephew Lot and their other followers from Ur into Canaan. He is regarded by Jews as being the founder of the Hebrews through his son Isaac and by Muslims as being the founder of the Arabs through his son Ishmael.... [more]",ABRAHAM,"[English, Hebrew, Spanish, French, Dutch, German, Swedish, Norwegian, Danish, Biblical, Biblical Latin]"
212,m,Russian and Georgian form of ABRAHAM.,ABRAM  (2),"[Russian, Georgian]"
213,m,"From the Hebrew name אַבְשָׁלוֹם ('Avshalom) which meant ""my father is peace"". In the Old Testament he is a son of King David. He avenged his sister Tamar by arranging the murder of her rapist, their half-brother Amnon. He later led a revolt against his father. While fleeing on the back of a mule he got his head caught in a tree and was killed by Joab.",ABSALOM,"[Biblical, Biblical Latin]"
214,m,"Combination of ABU and FADL. This was another name for Abbas, the son of the fourth caliph Ali.",ABU AL-FADL,[Arabic]
215,m,"Combination of ABU and BAKR. Abu Bakr was a companion and father-in-law of the Prophet Muhammad and the first caliph of the Muslim world. His name was in fact a kunya (a nickname) formed using Abu; his real name was Abd Allah. Shia Muslims hold a more negative view of Abu Bakr, hence this name is more widely used among Sunnis.",ABU BAKR,[Arabic]
216,m,Serbian and Macedonian diminutive of ALEKSANDAR.,ACA,"[Serbian, Macedonian]"
217,m,Latinized form of AKAKIOS.,ACACIUS,[Ancient Greek (Latinized)]
218,m,"From the English word meaning ""highest rank"". More commonly a nickname, it is occasionally used as a given name.",ACE  (1),[English]
219,m,Biblical Greek form of AHAB.,ACHAAB,[Biblical Greek]
220,m,"Latinized form of the Greek name Αχαικος (Achaikos), which referred to the region in Greece called Αχαια (Achaia), situated on the northern coast of the Peloponnese. In the New Testament this is the name of a Corinthian Christian who aids Saint Paul.",ACHAICUS,"[Biblical, Biblical Latin]"
221,m,"Possibly a variation of the Hebrew word עֲכָר ('akhar) meaning ""trouble"". In the Old Testament, Achan is stoned to death because he steals forbidden items during the assault on Jericho.",ACHAN,[Biblical]
222,m,Biblical Hebrew form of AHAB.,'ACH'AV,[Biblical Hebrew]
223,m,French and Italian form of ACHILLES.,ACHILLE,"[French, Italian]"
224,m,Original Greek form of ACHILLES.,ACHILLEUS,[Greek Mythology]
225,m,"Possibly means ""he will establish"" in Hebrew. In the New Testament this name is listed as an ancestor of Jesus.",ACHIM  (2),[Biblical]
226,m,Swedish short form of AXEL.,ACKE,[Swedish]
227,m,Short form of ADRIAAN.,AD,"[Dutch, Limburgish]"
228,m,Akkadian cognate of HADAD.,ADAD,[Near Eastern Mythology]
229,f,"Means ""adornment"" in Hebrew. This was the name of the wives of both Lamech and Esau in the Old Testament.",ADAH,[Biblical]
230,m,Old Germanic form of ALBERT.,ADALBERHT,[Ancient Germanic]
231,m,"Old Germanic form of ALBERT. This is the name of a patron saint of Bohemia, Poland and Prussia.",ADALBERT,"[Ancient Germanic, German, Polish]"
232,f,"Means ""justice"" in Turkish, ultimately from Arabic.",ADALET,[Turkish]
233,m,Old Germanic form of ALFONSO.,ADALFUNS,[Ancient Germanic]
234,f,Old Germanic form of ADELAIDE.,ADALHEIDIS,[Ancient Germanic]
235,m,"From the Germanic elements adal ""noble"" and win ""friend"".",ADALWIN,[Ancient Germanic]
236,m,Hebrew form of ADALIA.,'ADALYA',[Biblical Hebrew]
237,f,Variant of ADELINE using the popular name suffix lyn.,ADALYNN,[English (Modern)]
238,m,"This is the Hebrew word for ""man"". It could be ultimately derived from Hebrew אדם ('adam) meaning ""to be red"", referring to the ruddy colour of human skin, or from Akkadian adamu meaning ""to make"".... [more]",ADAM,"[English, French, German, Dutch, Swedish, Norwegian, Danish, Polish, Czech, Slovak, Russian, Ukrainian, Croatian, Serbian, Macedonian, Romanian, Hebrew, Arabic, Georgian, Biblical, Biblical Latin, Biblical Greek, Biblical Hebrew]"
239,m,Italian form of ADAM.,ADAMO,[Italian]
240,m,Spanish form of ADAM.,ADÁN,[Spanish]
241,f,"Means ""her father's daughter"" in Igbo.",ADANNAYA,"[Western African, Igbo]"
242,f,"Means ""noble"" in Hebrew.",ADARA,[Hebrew]
243,f,Diminutive of ADELAIDE.,ADDIE,[English]
244,f,Diminutive of ADELAIDE.,ADDY  (1),[English]
245,f,Feminine variant of ADDISON.,ADDYSON,[English (Modern)]
246,m,Variant of ADDE.,ADE  (2),[Frisian]
247,m&f,"Means ""the crown has met wealth"" in Yoruba.",ADEBOLA,"[Western African, Yoruba]"
248,m&f,"Means ""the crown becomes joy"" in Yoruba.",ADEDAYO,"[Western African, Yoruba]"
249,f,Hungarian form of ADELA.,ADÉL,[Hungarian]
250,f,Czech form of ADELA.,ADÉLA,[Czech]
251,f,Spanish and Hungarian form of ADELAIDE.,ADELAIDA,"[Spanish, Hungarian]"
