,gender,meaning,name,origin
143,f,"ADRIJANA   f   Slovene, Serbian, Croatian, MacedonianSlovene, Serbian, Croatian and Macedonian feminine form of ADRIAN.",ADRIJANA,"[Slovene, Serbian, Croatian, Macedonian]"
144,f,"ADWOA   f   Western African, AkanMeans ""born on Monday"" in Akan.",ADWOA,"[Western African, Akan]"
145,m,"ÁED   m   Ancient Irish, Irish MythologyOlder form of AODH.",ÁED,"[Ancient Irish, Irish Mythology]"
146,m,ÁEDH   m   Ancient IrishVariant of ÁED.,ÁEDH,[Ancient Irish]
147,f,"AEGLE   f   Greek Mythology (Latinized)Latinized form of the Greek Αιγλη (Aigle) which meant ""light, radiance, glory"". This was the name of several characters in Greek myth, including one of the Heliades and one of the Hesperides.",AEGLE,[Greek Mythology (Latinized)]
148,f,"ÆLFGIFU   f   Anglo-SaxonDerived from the Old English elements ælf ""elf"" and giefu ""gift"". This was the name of the first wife of the English king Æðelræd II.",ÆLFGIFU,[Anglo-Saxon]
149,m,"ÆLFNOÐ   m   Anglo-SaxonDerived from the Old English element ælf ""elf"" combined with noð ""boldness, daring"".",ÆLFNOÐ,[Anglo-Saxon]
150,f,AADA   f   FinnishFinnish short form of ADELE and other names beginning with the same sound.,AADA,[Finnish]
151,f,"AAFJE   f   DutchShort form of names beginning with the Germanic element alf ""elf"".",AAFJE,[Dutch]
152,m,"AALI   m   ArabicMeans ""high, lofty, sublime"" in Arabic.",AALI,[Arabic]
153,f,"AALIYAH   f   Arabic, English (Modern)Feminine form of AALI. It was popularized in the English-speaking world by the singer Aaliyah Haughton (1979-2001), who was known simply as Aaliyah.",AALIYAH,"[Arabic, English (Modern)]"
154,f,AAMINAH   f   ArabicVariant transcription of AMINAH  (1).,AAMINAH,[Arabic]
155,m,AAMIR   m   ArabicVariant of AMIR  (1).,AAMIR,[Arabic]
156,m,AAPELI   m   FinnishFinnish form of ABEL.,AAPELI,[Finnish]
157,m,AAREN   m & f   English (Rare)Variant or feminine form of AARON.,AAREN,[English (Rare)]
158,m,AARÓN   m   SpanishSpanish form of AARON.,AARÓN,[Spanish]
159,m,AART   m   DutchDutch short form of ARNOLD.,AART,[Dutch]
160,f,"AARTI   f   Indian, Hindi, MarathiFrom the name of a Hindu ritual in which offerings of lamps or candles are made to various gods, derived from Sanskrit आरात्रिक (aratrika).",AARTI,"[Indian, Hindi, Marathi]"
161,m,"AATOS   m   FinnishMeans ""thought"" in Finnish.",AATOS,[Finnish]
162,m,AATU   m   FinnishFinnish form of ADOLF.,AATU,[Finnish]
163,m,ABACUC   m   Biblical LatinBiblical Latin form of HABAKKUK.,ABACUC,[Biblical Latin]
164,m,"ABBÁN   m   IrishMeans ""little abbot"", derived from Irish abb ""abbot"" combined with a diminutive suffix. This was the name of a 6th-century Irish saint, the son of king Cormac of Leinster.",ABBÁN,[Irish]
165,m,"ABBAS   m   Arabic, PersianMeans ""austere"" in Arabic. This was the name of the Prophet Muhammad's uncle. It was also borne by a son of Ali, the fourth caliph.",ABBAS,"[Arabic, Persian]"
166,f,ABBEY   f   EnglishDiminutive of ABIGAIL.,ABBEY,[English]
167,f,ABBIE   f   EnglishDiminutive of ABIGAIL.,ABBIE,[English]
168,m,"ABD AL-AZIZ   m   ArabicMeans ""servant of the powerful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with عزيز ('aziz) ""powerful"". This was the name of the first king of modern Saudi Arabia.",ABD AL-AZIZ,[Arabic]
169,m,ABD AL-KADER   m   ArabicVariant transcription of ABD AL-QADIR.,ABD AL-KADER,[Arabic]
170,m,"ABD ALLAH   m   ArabicMeans ""servant of ALLAH"" from Arabic عبد ('abd) ""servant of"" combined with الله (Allah). This was the name of the Prophet Muhammad's father. He died before his son's birth.",ABD ALLAH,[Arabic]
171,m,"ABD AL-MALIK   m   ArabicMeans ""servant of the king"" from Arabic عبد ال ('abd al) ""servant of the"" combined with ملك (malik) ""king"". This was the name of the fifth Umayyad caliph, who made Arabic the official language of the empire.",ABD AL-MALIK,[Arabic]
172,m,"ABD AL-RAHMAN   m   ArabicMeans ""servant of the merciful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with رحمن (rahman) ""merciful"". This was the name of two early caliphs of the Umayyad dynasty in Spain.",ABD AL-RAHMAN,[Arabic]
173,m,"ABD AL-WALI   m   ArabicMeans ""servant of the guardian"" from Arabic عبد ال ('abd al) ""servant of the"" combined with ولِي (wali) ""guardian, friend"".",ABD AL-WALI,[Arabic]
174,m,ABDIOU   m   Biblical GreekForm of OBADIAH used in the Greek Old Testament.,ABDIOU,[Biblical Greek]
175,m,"ABDUL   m   Arabic, Urdu, Punjabi, Pashto, Bengali, Indonesian, MalayFirst part of compound Arabic names beginning with عبد ال ('Abd al) meaning ""servant of the"" (such as عبد العزيز ('Abd al-'Aziz) ""servant of the powerful"").",ABDUL,"[Arabic, Urdu, Punjabi, Pashto, Bengali, Indonesian, Malay]"
176,m,ABDUL-AZIZ   m   ArabicVariant transcription of ABD AL-AZIZ.,ABDUL-AZIZ,[Arabic]
177,m,ABDÜLHAMİT   m   TurkishTurkish form of ABD AL-HAMID.,ABDÜLHAMİT,[Turkish]
178,m,ABDÜLKERİM   m   TurkishTurkish form of ABD AL-KARIM.,ABDÜLKERİM,[Turkish]
179,m,ABDÜLLATİF   m   TurkishTurkish form of ABD AL-LATIF.,ABDÜLLATİF,[Turkish]
180,m,ABDULLOHI   m   TajikTajik variant form of ABD ALLAH.,ABDULLOHI,[Tajik]
181,m,ABDURAKHMAN   m   ChechenChechen form of ABD AL-RAHMAN.,ABDURAKHMAN,[Chechen]
182,m,ABDUR-RASHID   m   ArabicVariant transcription of ABD AL-RASHID.,ABDUR-RASHID,[Arabic]
183, (1),ABE  (1)   m   EnglishShort form of ABRAHAM.,ABE  (1),[English]
184,m,"ABEDNEGO   m   BiblicalMeans ""servant of Nebo"" in Akkadian, Nebo being the Babylonian god of wisdom. In the Old Testament Abednego is the Babylonian name given to Azariah, one of the three men cast into a blazing furnace but saved from harm by God, as told in the Book of Daniel.",ABEDNEGO,[Biblical]
185,m,ÁBEL   m   HungarianHungarian form of ABEL.,ÁBEL,[Hungarian]
186,m,ABELE   m   ItalianItalian form of ABEL.,ABELE,[Italian]
187,f,"ABENA   f   Western African, AkanMeans ""born on Tuesday"" in Akan.",ABENA,"[Western African, Akan]"
188,f,"ABENI   f   Western African, YorubaMeans ""we asked for her, and behold, we got her"" in Yoruba.",ABENI,"[Western African, Yoruba]"
189,f,"ABERASH   f   Eastern African, AmharicPossibly means ""giving off light"" in Amharic.",ABERASH,"[Eastern African, Amharic]"
190,m,ABESSALOM   m   Biblical GreekBiblical Greek form of ABSALOM.,ABESSALOM,[Biblical Greek]
191,m,"ABHAY   m   Indian, Hindi, MarathiMeans ""fearless"" in Sanskrit.",ABHAY,"[Indian, Hindi, Marathi]"
192,m,"ABHIJIT   m   Indian, Hindi, Marathi, BengaliFrom Sanskrit अभिजित (abhijita) meaning ""victorious"". This is the Sanskrit name for the star Vega.",ABHIJIT,"[Indian, Hindi, Marathi, Bengali]"
193,f,"ABHILASHA   f   Indian, HindiFeminine form of ABHILASH.",ABHILASHA,"[Indian, Hindi]"
194,m,"ABHISHEK   m   Indian, Hindi, Marathi, Gujarati, Punjabi, Bengali, Kannada, Telugu, Malayalam, TamilMeans ""anointing"" in Sanskrit.",ABHISHEK,"[Indian, Hindi, Marathi, Gujarati, Punjabi, Bengali, Kannada, Telugu, Malayalam, Tamil]"
